Respondent_ID,Q1_Gender,Q2_Age_Group,Q3_Annual_Income,Q4_Occupation,Q5_City_Tier,Q6_Handloom_Sarees,Q6_Block_Print_Kurtas_and_Dupatta_Sets,Q6_Handloom_Stoles_and_Scarves,Q6_Artisan_Home_Textiles,Q6_Mens_Handloom_Kurtas_and_Nehru_Jackets,Q7_Banarasi,Q7_Bandhani,Q7_Block_Print,Q7_Chanderi,Q7_Chikankari,Q7_Ikat_Pochampally,Q7_Kalamkari,Q7_Khadi,Q7_Kantha,Q7_Phulkari,Q8_Pure_Cotton,Q8_Cotton-Silk_Blend,Q8_Pure_Silk,Q8_Linen_Cotton-Linen,Q8_Khadi,Q8_Organza_Georgette,Q9_Budget_Per_Purchase,Q10_Matching_Dupatta_Stole,Q10_Handcrafted_Jewellery,Q10_Matching_Footwear_Juttis_Kolhapuris,Q10_Gift_Packaging,Q10_Home_Textile_Matching_Set,Q10_Blouse_Inner_Fabric_Piece,Q10_None__Standalone_only,Q11_Festivals,Q11_Weddings_and_Wedding_Functions,Q11_Office_Corporate_Ethnic_Days,Q11_Casual_Daily_Wear,Q11_Family_Gatherings_and_Pujas,Q11_Gifting_to_Others,Q11_No_Specific_Occasion,Q12_Peak_Shopping_Season,Q13_Purchase_Frequency,Q14_Gift_Handloom_Sarees,Q14_Gift_Stoles_and_Scarves,Q14_Gift_Kurta_Sets,Q14_Gift_Home_Textile_Hampers,Q14_Gift_Curated_Vastraa_Gift_Box,Q14_Gift_I_do_not_gift_ethnic_wear,Q15_Annual_Textile_Spend,Q16_Annual_Gift_Budget,Q17_Brand_D2C_Website,Q17_Instagram_Social_Commerce,Q17_Marketplaces_Amazon_Myntra_Flipkart_Ajio,Q17_Physical_Retail_Exhibitions,Q17_WhatsApp_Shopping,Q17_Local_Weaver_Markets_Haats,Q18_Discovery_Channel,Q19_Style_Preference,Q20_Top_Priority,Q21_Social_Media_Usage,Q22_Online_Purchase_Comfort,Q23_Sustainability_Premium,Q24_Artisan_Story_and_Traceability,Q24_Curated_Collections_by_Occasion_Region,Q24_Easy_Returns_and_Size_Exchange,Q24_Affordable_Pricing_and_Transparency,Q24_Exclusive_Designs,Q24_Loyalty_Rewards_and_Personalization,Q25_Discount_Trigger,Q26_Review_Importance,Q27_Regional_Identity_Influence,Q28_Current_Brand_Source,Q29_Household_Life_Stage,Q30_Purchase_Intent,Q2_Age_Numeric,Q3_Income_Midpoint_Lakhs,Q5_City_Tier_Code,Q9_Budget_Midpoint_INR,Q13_Frequency_Code,Q15_Annual_Spend_Midpoint_INR,Q16_Gift_Budget_Midpoint_INR,Q21_Social_Media_Code,Q22_Online_Trust_Code,Q23_Sustainability_Code,Q26_Review_Code,Q27_Regional_Code,Q30_Purchase_Intent_Binary,Q30_Intent_Code,Derived_Total_Products_Interested,Derived_Total_Styles_Selected,Derived_Total_Occasions,Derived_Total_Addons,Derived_Is_Gifter,Derived_Digital_Readiness_Score,Derived_Estimated_Annual_Value_INR,_Latent_Persona
VSTR_0272,Female,25-34,₹10 - ₹15 Lakhs,Salaried Professional,Tier-3 / Small Town / Rural,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,"₹5,000 - ₹10,000",0,1,0,0,0,1,0,1,1,0,0,0,0,0,Wedding Season (Nov-Feb),1-2 times (Rare),0,0,1,0,0,0,"₹5,000 - ₹15,000","Below ₹2,000",0,1,0,1,0,0,YouTube/Influencer Content,Contemporary Ethnic,Design & Aesthetic Appeal,30 min - 1 hour,Somewhat Uncomfortable,Probably not,0,0,1,0,1,0,Flat Percentage Discount,Somewhat Important,No - purely design-based,Local boutiques/tailors,Established Family (Children 12+),Highly Unlikely,30,12.5,4,7500,1,10000,1000,2,2,2,3,2,0,1,1,3,2,2,1,2.0,7500,Young_Trendsetter
VSTR_0273,Female,25-34,₹3 - ₹6 Lakhs,Salaried Professional,Metro,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,"Below ₹1,000",0,1,0,0,0,0,0,0,1,0,1,0,0,1,Sale/Discount Seasons only,6-10 times (Regular),0,0,1,0,0,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,1,1,0,0,0,Marketplace Recommendations,Indo-Western Fusion,Price/Value for Money,2 - 4 hours,Very Comfortable,Probably not,0,0,1,1,0,0,Free Shipping,Somewhat Important,I seek diversity from other regions,BIBA/W/Aurelia/Global Desi,Joint Family/Multi-generational,Highly Likely,30,4.5,1,700,3,10000,0,4,5,2,3,1,1,5,3,2,3,1,0,4.5,2100,Budget_Explorer
VSTR_0274,Female,35-44,₹6 - ₹10 Lakhs,Homemaker,Tier-1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,"₹5,000 - ₹10,000",0,1,0,0,0,0,0,1,1,0,1,0,1,0,Festive + New Year (Dec-Jan),1-2 times (Rare),1,0,0,0,0,0,"₹15,000 - ₹30,000",₹0 (I don't gift textiles),1,0,0,0,0,1,Fashion Exhibitions & Melas,Traditional/Classic,Brand Reputation & Reviews,1 - 2 hours,Very Comfortable,"Yes, definitely",0,0,1,1,0,0,Festive Limited-Edition Drops,Very Important,No - purely design-based,BIBA/W/Aurelia/Global Desi,Established Family (Children 12+),Likely,40,8.0,2,7500,1,22500,0,3,5,5,4,2,1,4,2,1,4,1,0,4.0,7500,Heritage_Enthusiast
VSTR_0275,Female,55+,₹10 - ₹15 Lakhs,Freelancer / Gig Worker,Tier-1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,"₹5,000 - ₹10,000",0,1,0,1,1,0,0,1,0,0,0,1,0,0,Festive + New Year (Dec-Jan),6-10 times (Regular),1,0,1,1,0,0,"₹15,000 - ₹30,000","Above ₹25,000",0,0,1,0,0,1,Fashion Exhibitions & Melas,Indo-Western Fusion,Comfort & Fabric Feel,1 - 2 hours,Neutral,Probably not,0,1,1,0,0,0,Loyalty Points/Cashback,Very Important,No - purely design-based,FabIndia/Good Earth/Nicobar,Single/Living alone,Unlikely,60,12.5,2,7500,3,22500,35000,3,3,2,4,2,0,2,4,3,2,3,1,3.0,22500,Gift_Buyer
VSTR_0276,Female,35-44,₹10 - ₹15 Lakhs,Homemaker,Tier-1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,"Above ₹20,000",1,1,0,0,0,0,0,1,0,0,1,1,0,0,I shop evenly throughout the year,6-10 times (Regular),0,1,1,0,0,0,"₹30,000 - ₹60,000","Below ₹2,000",0,0,0,1,0,1,Word of Mouth/Recommendations,Traditional/Classic,Comfort & Fabric Feel,1 - 2 hours,Neutral,No,1,1,0,0,0,0,Festive Limited-Edition Drops,Very Important,Strongly Yes,Myntra/Ajio/Amazon,Newly Married/Couple,Neutral,40,12.5,2,30000,3,45000,1000,3,3,1,4,4,0,3,2,1,3,2,1,3.0,90000,Heritage_Enthusiast
VSTR_0277,Female,35-44,₹3 - ₹6 Lakhs,Homemaker,Tier-1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,"₹1,000 - ₹2,500",0,0,0,0,0,0,0,0,1,0,1,1,0,1,Sale/Discount Seasons only,1-2 times (Rare),0,0,0,0,0,1,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,0,1,1,0,0,Instagram/Facebook Ads & Reels,Indo-Western Fusion,Authenticity of Craft,Less than 30 min,Somewhat Comfortable,"Yes, definitely",1,1,0,0,0,0,Free Shipping,Not Important,Somewhat Yes,"Instagram/D2C brands (Suta, Okhai, etc.)",Single/Living alone,Likely,40,4.5,2,1750,1,10000,0,1,4,5,1,3,1,4,2,3,4,0,0,2.5,1750,Young_Trendsetter
VSTR_0278,Female,25-34,₹6 - ₹10 Lakhs,Salaried Professional,Metro,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,"₹10,000 - ₹20,000",1,0,1,1,1,1,0,0,1,0,1,0,0,0,Diwali/Navratri Season (Oct-Nov),3-5 times (Occasional),1,1,0,0,0,0,"₹30,000 - ₹60,000","Below ₹2,000",1,0,0,1,0,0,Word of Mouth/Recommendations,Traditional/Classic,Comfort & Fabric Feel,30 min - 1 hour,Somewhat Comfortable,"Yes, definitely",1,0,0,0,1,0,Bundle Deals,Very Important,Somewhat Yes,Directly from weavers/exhibitions,Young Family (Children <12),Likely,30,8.0,1,15000,2,45000,1000,2,4,5,4,3,1,4,1,3,2,5,1,3.0,30000,Premium_Connoisseur
VSTR_0279,Female,35-44,₹15 - ₹25 Lakhs,Self-employed / Business Owner,Metro,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"Above ₹20,000",1,0,0,0,1,1,0,1,1,0,1,1,0,0,Diwali/Navratri Season (Oct-Nov),More than 10 times (Frequent),0,1,1,0,0,0,"₹60,000 - ₹1,00,000","Below ₹2,000",0,0,0,0,1,1,Instagram/Facebook Ads & Reels,Traditional/Classic,Design & Aesthetic Appeal,1 - 2 hours,Somewhat Comfortable,"Yes, definitely",1,0,0,0,0,1,Bundle Deals,Very Important,Somewhat Yes,Directly from weavers/exhibitions,Young Family (Children <12),Likely,40,20.0,1,30000,4,80000,1000,3,4,5,4,3,1,4,1,2,4,3,1,3.5,120000,Heritage_Enthusiast
VSTR_0280,Female,18-24,Below ₹3 Lakhs,Student,Tier-1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,"₹1,000 - ₹2,500",1,0,1,0,0,0,0,1,1,0,1,0,1,0,Diwali/Navratri Season (Oct-Nov),More than 10 times (Frequent),0,1,1,0,1,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,1,1,0,0,0,Word of Mouth/Recommendations,Traditional/Classic,Design & Aesthetic Appeal,2 - 4 hours,Very Comfortable,"Yes, definitely",1,0,0,0,0,1,Flat Percentage Discount,Not Important,Strongly Yes,Local boutiques/tailors,Single/Living alone,Likely,21,2.0,2,1750,4,10000,0,4,5,5,1,4,1,4,1,3,4,2,0,4.5,7000,Heritage_Enthusiast
VSTR_0281,Female,25-34,₹15 - ₹25 Lakhs,Salaried Professional,Metro,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"₹10,000 - ₹20,000",0,0,1,1,0,0,0,0,1,1,0,1,1,0,Wedding Season (Nov-Feb),6-10 times (Regular),1,1,0,0,1,0,"₹30,000 - ₹60,000","₹5,000 - ₹10,000",0,0,1,0,0,1,Word of Mouth/Recommendations,Traditional/Classic,Comfort & Fabric Feel,1 - 2 hours,Very Comfortable,Neutral,1,0,0,1,0,0,Bundle Deals,Very Important,Somewhat Yes,No go-to source - I shop around,Newly Married/Couple,Likely,30,20.0,1,15000,3,45000,7500,3,5,3,4,3,1,4,3,3,4,2,1,4.0,45000,Heritage_Enthusiast
VSTR_0282,Male,25-34,₹6 - ₹10 Lakhs,Retired,Tier-2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,"₹1,000 - ₹2,500",0,0,1,0,0,0,0,1,0,1,1,0,0,0,I shop evenly throughout the year,More than 10 times (Frequent),0,0,0,0,0,0,"₹60,000 - ₹1,00,000",₹0 (I don't gift textiles),1,1,0,0,0,0,Google Search,Indo-Western Fusion,Price/Value for Money,30 min - 1 hour,Neutral,Neutral,0,1,0,0,0,1,First Purchase/Welcome Offer,Somewhat Important,No - purely design-based,Directly from weavers/exhibitions,Established Family (Children 12+),Likely,30,8.0,3,1750,4,80000,0,2,3,3,3,2,1,4,2,3,3,1,0,2.5,7000,Modern_Minimalist
VSTR_0283,Male,25-34,₹15 - ₹25 Lakhs,Retired,Metro,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,"Above ₹20,000",1,0,0,0,0,0,0,1,1,1,1,0,0,0,Diwali/Navratri Season (Oct-Nov),3-5 times (Occasional),0,0,0,0,0,1,"₹60,000 - ₹1,00,000",₹0 (I don't gift textiles),0,1,1,0,0,0,YouTube/Influencer Content,Traditional/Classic,Authenticity of Craft,Less than 30 min,Neutral,"Yes, definitely",0,0,0,0,1,1,Free Shipping,Neutral,Strongly Yes,"Instagram/D2C brands (Suta, Okhai, etc.)",Single/Living alone,Highly Likely,30,20.0,1,30000,2,80000,0,1,3,5,2,4,1,5,2,1,4,1,0,2.0,60000,Premium_Connoisseur
VSTR_0284,Male,18-24,₹6 - ₹10 Lakhs,Student,Metro,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,"₹1,000 - ₹2,500",0,0,0,0,0,0,0,1,0,0,0,1,0,0,Diwali/Navratri Season (Oct-Nov),3-5 times (Occasional),0,1,0,0,0,0,"₹5,000 - ₹15,000","Below ₹2,000",0,1,0,0,1,0,Word of Mouth/Recommendations,Contemporary Ethnic,Price/Value for Money,2 - 4 hours,Very Comfortable,"Yes, definitely",0,0,1,1,0,0,Bundle Deals,Very Important,No - purely design-based,Local boutiques/tailors,Joint Family/Multi-generational,Neutral,21,8.0,1,1750,2,10000,1000,4,5,5,4,2,0,3,2,2,2,0,1,4.5,3500,Budget_Explorer
VSTR_0285,Female,18-24,Below ₹3 Lakhs,Salaried Professional,Tier-1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,"Below ₹1,000",0,0,0,0,0,0,0,1,1,1,1,0,0,0,Sale/Discount Seasons only,3-5 times (Occasional),1,0,1,0,1,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,1,1,0,0,0,Marketplace Recommendations,Indo-Western Fusion,Price/Value for Money,More than 4 hours,Very Comfortable,"Yes, definitely",0,1,1,0,0,0,First Purchase/Welcome Offer,Not Important,Somewhat Yes,"Instagram/D2C brands (Suta, Okhai, etc.)",Joint Family/Multi-generational,Highly Likely,21,2.0,2,700,2,10000,0,5,5,5,1,3,1,5,1,2,4,0,0,5.0,1400,Modern_Minimalist
VSTR_0286,Male,25-34,₹10 - ₹15 Lakhs,Freelancer / Gig Worker,Tier-1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,"₹5,000 - ₹10,000",0,1,0,0,1,0,0,0,0,0,0,1,0,0,Diwali/Navratri Season (Oct-Nov),3-5 times (Occasional),0,1,0,0,0,0,"₹15,000 - ₹30,000","Below ₹2,000",0,1,1,0,0,0,Instagram/Facebook Ads & Reels,Traditional/Classic,Brand Reputation & Reviews,30 min - 1 hour,Neutral,"Yes, definitely",1,0,0,0,0,1,Loyalty Points/Cashback,Somewhat Important,No - purely design-based,BIBA/W/Aurelia/Global Desi,Newly Married/Couple,Unlikely,30,12.5,2,7500,2,22500,1000,2,3,5,3,2,0,2,3,2,1,2,1,2.5,15000,Modern_Minimalist
VSTR_0287,Female,55+,₹10 - ₹15 Lakhs,Homemaker,Tier-3 / Small Town / Rural,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"₹2,500 - ₹5,000",1,1,0,1,1,1,0,1,0,0,0,0,1,0,I shop evenly throughout the year,More than 10 times (Frequent),0,0,0,0,0,0,"₹30,000 - ₹60,000","₹10,000 - ₹25,000",1,0,0,1,0,0,Word of Mouth/Recommendations,Bold/Statement,Design & Aesthetic Appeal,2 - 4 hours,Neutral,"Yes, definitely",1,0,0,0,1,0,Flat Percentage Discount,Not Important,No - purely design-based,BIBA/W/Aurelia/Global Desi,Empty Nester,Neutral,60,12.5,4,3750,4,45000,17500,4,3,5,1,2,0,3,3,1,2,5,1,3.5,15000,Gift_Buyer
VSTR_0288,Female,25-34,₹6 - ₹10 Lakhs,Student,Tier-1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,"₹1,000 - ₹2,500",1,0,0,0,0,0,0,1,0,0,1,1,0,0,I shop evenly throughout the year,3-5 times (Occasional),0,0,0,0,0,1,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,0,1,0,1,0,Instagram/Facebook Ads & Reels,Contemporary Ethnic,Design & Aesthetic Appeal,1 - 2 hours,Somewhat Comfortable,No,0,0,0,1,0,1,Flat Percentage Discount,Somewhat Important,I seek diversity from other regions,Myntra/Ajio/Amazon,Newly Married/Couple,Neutral,30,8.0,2,1750,2,10000,0,3,4,1,3,1,0,3,3,3,3,1,0,3.5,3500,Budget_Explorer
VSTR_0289,Male,25-34,Above ₹25 Lakhs,Salaried Professional,Tier-1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,"Above ₹20,000",0,1,1,0,0,0,0,1,1,0,1,1,0,0,Wedding Season (Nov-Feb),6-10 times (Regular),1,1,0,0,1,0,"₹30,000 - ₹60,000","₹2,000 - ₹5,000",0,1,0,1,0,0,Fashion Exhibitions & Melas,Minimalist/Understated,Comfort & Fabric Feel,1 - 2 hours,Very Comfortable,No,1,1,0,0,0,0,Bundle Deals,Very Important,No - purely design-based,Myntra/Ajio/Amazon,Young Family (Children <12),Likely,30,35.0,2,30000,3,45000,3500,3,5,1,4,2,1,4,2,3,4,2,1,4.0,90000,Heritage_Enthusiast
VSTR_0290,Female,25-34,₹3 - ₹6 Lakhs,Self-employed / Business Owner,Tier-2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,"₹1,000 - ₹2,500",1,0,0,0,0,0,0,1,0,1,1,1,1,0,I shop evenly throughout the year,6-10 times (Regular),0,0,1,1,0,0,"₹15,000 - ₹30,000","Below ₹2,000",1,0,0,0,0,1,Marketplace Recommendations,Indo-Western Fusion,Design & Aesthetic Appeal,30 min - 1 hour,Neutral,Neutral,0,1,0,1,0,0,Loyalty Points/Cashback,Somewhat Important,Somewhat Yes,BIBA/W/Aurelia/Global Desi,Newly Married/Couple,Unlikely,30,4.5,3,1750,3,22500,1000,2,3,3,3,3,0,2,3,2,5,1,1,2.5,5250,Modern_Minimalist
VSTR_0291,Male,35-44,₹3 - ₹6 Lakhs,Retired,Tier-1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"₹5,000 - ₹10,000",1,0,1,0,0,0,0,1,0,0,0,1,0,1,Diwali/Navratri Season (Oct-Nov),3-5 times (Occasional),0,0,0,0,0,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,0,1,1,0,0,Google Search,Bold/Statement,Comfort & Fabric Feel,2 - 4 hours,Very Comfortable,Probably yes,1,0,1,0,0,0,Festive Limited-Edition Drops,Neutral,Strongly Yes,Local boutiques/tailors,Young Family (Children <12),Neutral,40,4.5,2,7500,2,10000,0,4,5,4,2,4,0,3,1,3,3,2,0,4.5,15000,Heritage_Enthusiast
VSTR_0292,Male,25-34,₹6 - ₹10 Lakhs,Self-employed / Business Owner,Metro,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,"Above ₹20,000",0,0,0,0,0,0,0,0,1,0,0,1,1,0,Diwali/Navratri Season (Oct-Nov),1-2 times (Rare),1,0,0,1,0,0,"₹30,000 - ₹60,000","Below ₹2,000",0,1,0,1,0,0,Word of Mouth/Recommendations,Contemporary Ethnic,Design & Aesthetic Appeal,2 - 4 hours,Very Comfortable,"Yes, definitely",0,0,1,0,1,0,Bundle Deals,Somewhat Important,I seek diversity from other regions,Directly from weavers/exhibitions,Newly Married/Couple,Highly Likely,30,8.0,1,30000,1,45000,1000,4,5,5,3,1,1,5,2,1,3,0,1,4.5,30000,Premium_Connoisseur
VSTR_0293,Female,25-34,Above ₹25 Lakhs,Salaried Professional,Tier-1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,"Above ₹20,000",0,0,0,0,0,0,1,1,1,1,1,0,1,0,Diwali/Navratri Season (Oct-Nov),More than 10 times (Frequent),0,0,1,1,0,0,"Above ₹1,00,000","₹2,000 - ₹5,000",1,1,0,0,0,0,Instagram/Facebook Ads & Reels,Traditional/Classic,Authenticity of Craft,2 - 4 hours,Very Comfortable,"Yes, definitely",1,1,0,0,0,0,Free Shipping,Somewhat Important,No - purely design-based,Local boutiques/tailors,Joint Family/Multi-generational,Highly Likely,30,35.0,2,30000,4,150000,3500,4,5,5,3,2,1,5,2,3,5,0,1,4.5,120000,Premium_Connoisseur
VSTR_0294,Male,25-34,Below ₹3 Lakhs,Salaried Professional,Tier-3 / Small Town / Rural,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,"Below ₹1,000",0,0,0,0,0,0,0,1,1,0,1,1,0,0,I shop evenly throughout the year,3-5 times (Occasional),0,0,1,1,0,0,"₹5,000 - ₹15,000",₹0 (I don't gift textiles),0,0,1,0,0,1,Word of Mouth/Recommendations,Contemporary Ethnic,Price/Value for Money,1 - 2 hours,Neutral,"Yes, definitely",0,1,0,1,0,0,Bundle Deals,Neutral,I seek diversity from other regions,FabIndia/Good Earth/Nicobar,Newly Married/Couple,Likely,30,2.0,4,700,2,10000,0,3,3,5,2,1,1,4,3,3,4,0,0,3.0,1400,Modern_Minimalist
VSTR_0295,Male,18-24,₹10 - ₹15 Lakhs,Self-employed / Business Owner,Tier-1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,"₹5,000 - ₹10,000",1,1,0,0,0,0,0,1,0,0,0,1,1,0,Diwali/Navratri Season (Oct-Nov),6-10 times (Regular),0,0,1,0,0,0,"₹60,000 - ₹1,00,000","₹5,000 - ₹10,000",0,0,0,0,1,1,Word of Mouth/Recommendations,Traditional/Classic,Price/Value for Money,More than 4 hours,Very Comfortable,Probably not,0,0,1,1,0,0,Bundle Deals,Neutral,No - purely design-based,Local boutiques/tailors,Single/Living alone,Likely,21,12.5,2,7500,3,80000,7500,5,5,2,2,2,1,4,2,3,3,2,1,5.0,22500,Gift_Buyer
VSTR_0296,Female,18-24,₹10 - ₹15 Lakhs,Homemaker,Metro,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,"₹2,500 - ₹5,000",1,1,0,0,0,0,0,1,0,0,0,0,1,0,Sale/Discount Seasons only,3-5 times (Occasional),0,0,0,0,0,1,"₹15,000 - ₹30,000",₹0 (I don't gift textiles),0,0,1,0,0,1,Instagram/Facebook Ads & Reels,Indo-Western Fusion,Comfort & Fabric Feel,2 - 4 hours,Very Comfortable,Probably yes,0,0,1,0,1,0,Free Shipping,Neutral,Strongly Yes,Myntra/Ajio/Amazon,Single/Living alone,Neutral,21,12.5,1,3750,2,22500,0,4,5,4,2,4,0,3,1,2,2,2,0,4.5,7500,Budget_Explorer
VSTR_0297,Female,25-34,₹6 - ₹10 Lakhs,Homemaker,Metro,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,"₹5,000 - ₹10,000",0,0,0,1,0,1,0,0,1,0,0,1,1,0,I shop evenly throughout the year,6-10 times (Regular),1,0,0,0,0,0,"₹15,000 - ₹30,000","Below ₹2,000",1,1,0,0,0,0,Google Search,Traditional/Classic,Authenticity of Craft,30 min - 1 hour,Somewhat Comfortable,Neutral,1,1,0,0,0,0,First Purchase/Welcome Offer,Very Important,Strongly Yes,"Instagram/D2C brands (Suta, Okhai, etc.)",Single/Living alone,Highly Likely,30,8.0,1,7500,3,22500,1000,2,4,3,4,4,1,5,2,3,3,2,1,3.0,22500,Heritage_Enthusiast
VSTR_0298,Male,18-24,Below ₹3 Lakhs,Salaried Professional,Metro,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,"₹1,000 - ₹2,500",0,0,0,0,0,0,1,1,1,0,0,1,0,0,Festive + New Year (Dec-Jan),3-5 times (Occasional),1,0,0,0,0,0,"Below ₹5,000",₹0 (I don't gift textiles),1,0,0,0,1,0,Word of Mouth/Recommendations,Traditional/Classic,Comfort & Fabric Feel,2 - 4 hours,Very Comfortable,Neutral,1,1,0,0,0,0,Loyalty Points/Cashback,Very Important,Strongly Yes,Myntra/Ajio/Amazon,Single/Living alone,Highly Likely,21,2.0,1,1750,2,3000,0,4,5,3,4,4,1,5,3,3,3,0,0,4.5,3500,Heritage_Enthusiast
VSTR_0299,Female,18-24,₹6 - ₹10 Lakhs,Student,Tier-1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,"₹1,000 - ₹2,500",0,0,0,0,0,0,0,1,0,1,1,0,0,1,Diwali/Navratri Season (Oct-Nov),1-2 times (Rare),0,0,0,0,0,0,"₹15,000 - ₹30,000",₹0 (I don't gift textiles),1,1,0,0,0,0,Marketplace Recommendations,Traditional/Classic,Price/Value for Money,30 min - 1 hour,Somewhat Comfortable,Probably yes,1,0,0,1,0,0,First Purchase/Welcome Offer,Neutral,No - purely design-based,Directly from weavers/exhibitions,Single/Living alone,Likely,21,8.0,2,1750,1,22500,0,2,4,4,2,2,1,4,2,3,4,0,0,3.0,1750,Budget_Explorer
VSTR_0300,Male,25-34,₹6 - ₹10 Lakhs,Freelancer / Gig Worker,Tier-1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,"₹10,000 - ₹20,000",1,1,0,0,0,0,0,1,1,0,1,1,0,0,Diwali/Navratri Season (Oct-Nov),6-10 times (Regular),1,0,0,0,0,0,"₹15,000 - ₹30,000","₹2,000 - ₹5,000",0,1,0,0,0,1,Word of Mouth/Recommendations,Bold/Statement,Comfort & Fabric Feel,1 - 2 hours,Very Comfortable,"Yes, definitely",0,0,0,0,1,1,First Purchase/Welcome Offer,Somewhat Important,Strongly Yes,Local boutiques/tailors,Newly Married/Couple,Highly Likely,30,8.0,2,15000,3,22500,3500,3,5,5,3,4,1,5,2,2,4,2,1,4.0,45000,Heritage_Enthusiast
VSTR_0301,Male,45-54,₹15 - ₹25 Lakhs,Retired,Metro,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,"Above ₹20,000",1,1,1,1,1,0,0,1,1,0,0,0,0,0,Festive + New Year (Dec-Jan),3-5 times (Occasional),0,0,1,0,0,0,"₹60,000 - ₹1,00,000","Below ₹2,000",1,0,1,0,0,0,Word of Mouth/Recommendations,Traditional/Classic,Design & Aesthetic Appeal,1 - 2 hours,Very Comfortable,"Yes, definitely",1,0,0,0,1,0,Festive Limited-Edition Drops,Very Important,Strongly Yes,FabIndia/Good Earth/Nicobar,Joint Family/Multi-generational,Highly Likely,50,20.0,1,30000,2,80000,1000,3,5,5,4,4,1,5,3,3,2,5,1,4.0,60000,Premium_Connoisseur
VSTR_0302,Female,35-44,₹3 - ₹6 Lakhs,Salaried Professional,Tier-3 / Small Town / Rural,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,"Below ₹1,000",0,0,0,0,0,0,1,0,0,1,0,0,0,1,Festive + New Year (Dec-Jan),6-10 times (Regular),0,1,1,0,0,1,"₹15,000 - ₹30,000",₹0 (I don't gift textiles),0,0,1,0,0,1,Instagram/Facebook Ads & Reels,Traditional/Classic,Design & Aesthetic Appeal,More than 4 hours,Very Comfortable,Probably not,0,0,1,0,1,0,Loyalty Points/Cashback,Not Important,Somewhat Yes,No go-to source - I shop around,Young Family (Children <12),Unlikely,40,4.5,4,700,3,22500,0,5,5,2,1,3,0,2,1,3,2,0,0,5.0,2100,Budget_Explorer
